Cluster #,Absolute Delay [ns],Power in [dB],AOD,AOA,ZOD,ZOA
1,0,-3.4014,-39.363,112.1365,95.9936,100.6889
2,22.914,-10.5014,-2.5086,-157.634,97.1624,88.9311
3,27.66,-2.9799,17.4974,150.7698,97.9452,89.8621
4,32.25,-5.1984,17.4974,150.7698,97.9452,89.8621
5,40.248,-9.9593,17.4974,150.7698,97.9452,89.8621
6,34.5,0,24.1308,-70.3543,98.7118,73.6909
7,45.708,-7.5014,-18.9331,-93.5479,96.1295,76.7596
8,92.25,-6.2014,31.951,136.9496,95.3467,67.8293
9,113.868,-6.6014,-19.2086,112.4835,98.0648,77.7251
10,183.492,-11.3014,-30.4408,-82.6162,95.7272,99.7579
11,244.86,-2.7014,33.4345,-96.6134,95.806,99.9303
12,267.474,-15.9014,29.8317,146.3196,99.0271,68.6913
