Cluster #,Absolute Delay [ns],Power in [dB],AOD,AOA,ZOD,ZOA
1,0,0,9.3,-173.3,105.8,78.9
3,0.2155,-4,9.3,-173.3,105.8,78.9
4,0.2095,-3.2,34.1,-125.5,115.3,63.3
5,0.287,-9.8,-65.4,-88,119.3,59.9
6,0.2986,-1.2,-11.4,165.1,103.2,87.5
7,0.3752,-3.4,-11.4,165.1,103.2,87.5
8,0.5055,-5.2,-11.4,165.1,103.2,87.5
9,0.3681,-7.6,-67.2,-89.8,118.2,82.6
10,0.3697,-3,52.5,132.1,102,66.3
11,0.57,-8.9,-72,-83.6,100.4,61.6
12,0.5283,-9,74.3,95.3,98.3,58
13,1.1021,-4.8,-52.2,103.7,103.4,78.2
14,1.2756,-5.7,-50.5,-87.8,102.5,82
15,1.5474,-7.5,61.4,-92.5,101.4,62.4
16,1.7842,-1.9,30.6,-139.1,103,78
17,2.0169,-7.6,-72.5,-90.6,100,60.9
18,2.8294,-12.2,-90.6,58.6,115.2,82.9
19,3.0219,-9.8,-77.6,-79,100.5,60.8
20,3.6187,-11.4,-82.6,65.8,119.6,57.3
21,4.1067,-14.9,-103.6,52.7,118.7,59.9
22,4.279,-9.2,75.6,88.7,117.8,60.1
23,4.7834,-11.3,-77.6,-60.4,115.7,62.3
