Cluster #,Absolute Delay [ns],Power in [dB],AOD,AOA,ZOD,ZOA
1,0,-3.4014,-39.363,112.1365,95.9936,100.6889
2,22.914,0,-2.5086,-157.634,97.1624,88.9311
5,27.66,-2.9799,17.4974,150.7698,97.9452,89.8621
6,32.25,-5.1984,17.4974,150.7698,97.9452,89.8621
7,40.248,-9.9593,17.4974,150.7698,97.9452,89.8621
8,34.5,-10.5014,24.1308,-70.3543,98.7118,73.6909
9,45.708,-7.5014,-18.9331,-93.5479,96.1295,76.7596
10,92.25,-15.9014,31.951,136.9496,95.3467,67.8293
11,113.868,-6.6014,-19.2086,112.4835,98.0648,77.7251
12,133.452,-6.7014,26.9494,-136.349,99.2935,66.4156
13,130.308,-2.4014,-34.0436,97.8501,98.7444,74.415
14,149.652,-5.2014,-38.0703,126.7698,98.902,106.7919
15,150.714,-10.8014,-29.1481,-73.3619,95.912,97.9305
16,183.492,-11.3014,-30.4408,-82.6162,95.7272,99.7579
17,244.86,-2.7014,33.4345,-96.6134,95.806,99.9303
18,267.474,-6.2014,29.8317,146.3196,99.0271,68.6913
19,274.17,-18.3014,26.5044,166.0428,94.9226,66.8293
20,287.796,-18.9014,-26.7533,172.2895,95.083,62.6917
21,300.396,-16.6014,-34.2767,141.4611,99.2962,107.7918
22,318.258,-19.9014,25.1904,-157.113,95.2461,109.4124
23,579.516,-29.7014,-13.5289,114.3922,98.5677,111.2743
