Cluster #,Absolute Delay [ns],Power in [dB],AOD,AOA,ZOD,ZOA
1,0,-4.4,-46.6,-101,97.2,87.6
2,0.2099,-1.2,-22.8,-170,98.6,72.1
3,0.2219,-3.5,-22.8,-170,98.6,72.1
4,0.2329,-5.2,-22.8,-170,98.6,72.1
5,0.2176,-2.5,-40.7,-127.5,100.6,70.1
6,0.6366,0,0.3,170.4,99.2,75.3
8,0.656,-3.9,0.3,170.4,99.2,75.3
9,0.6584,-7.4,73.1,55.4,105.2,67.4
10,0.7935,-2.1,-64.5,166.5,95.3,63.8
11,0.8213,-10.7,80.2,-48.1,106.1,71.4
12,0.9336,-11.1,-97.1,46.9,93.5,60.5
13,1.2285,-5.1,-55.3,68.1,103.7,90.6
14,1.3083,-6.8,-64.3,-68.7,104.2,60.1
15,2.1704,-8.7,-78.5,81.5,93,61
16,2.7105,-13.2,102.7,30.7,104.2,100.7
17,4.2589,-13.9,99.2,-16.4,94.9,62.3
18,4.6003,-13.9,88.8,3.8,93.1,66.7
19,5.4902,-15.8,-101.9,-13.7,92.2,52.9
20,5.6077,-17.1,92.2,9.7,106.7,61.8
21,6.3065,-16,93.3,5.6,93,51.9
22,6.6374,-15.7,106.6,0.7,92.9,61.7
23,7.0427,-21.6,119.5,-21.9,105.2,58
24,8.6523,-22.8,-123.8,33.6,107.8,57
